,round,reward,ticks
644,644,17.0,177
645,645,13.0,171
646,646,11.0,114
647,647,4.0,124
648,648,7.0,133
649,649,6.0,118
650,650,2.0,127
651,651,1.0,118
652,652,2.0,125
653,653,1.0,121
654,654,2.0,118
655,655,14.0,162
656,656,41.0,374
657,657,0.0,88
658,658,1.0,118
659,659,11.0,137
660,660,5.0,121
661,661,8.0,144
662,662,7.0,127
663,663,3.0,121
664,664,10.0,127
665,665,5.0,155
666,666,5.0,158
667,667,12.0,137
668,668,3.0,133
669,669,4.0,130
670,670,8.0,133
671,671,13.0,153
672,672,11.0,136
673,673,4.0,135
674,674,11.0,145
675,675,15.0,145
676,676,8.0,142
677,677,6.0,145
678,678,8.0,142
679,679,2.0,98
680,680,23.0,209
681,681,5.0,139
682,682,13.0,136
683,683,21.0,185
684,684,3.0,125
685,685,5.0,158
686,686,6.0,139
687,687,18.0,174
688,688,11.0,155
689,689,7.0,136
690,690,12.0,174
691,691,16.0,152
692,692,9.0,147
693,693,9.0,118
694,694,4.0,158
695,695,12.0,121
696,696,17.0,252
697,697,9.0,115
698,698,19.0,171
699,699,17.0,254
700,700,14.0,158
701,701,10.0,134
702,702,19.0,248
703,703,5.0,125
704,704,7.0,121
705,705,8.0,87
706,706,16.0,165
707,707,2.0,130
708,708,3.0,124
709,709,12.0,156
710,710,12.0,140
711,711,11.0,158
712,712,15.0,152
713,713,4.0,142
714,714,9.0,145
715,715,8.0,162
716,716,9.0,118
717,717,12.0,222
718,718,25.0,296
719,719,11.0,137
720,720,6.0,137
721,721,10.0,186
722,722,2.0,118
723,723,8.0,158
724,724,9.0,158
725,725,10.0,133
726,726,10.0,130
727,727,11.0,187
728,728,9.0,140
729,729,12.0,189
730,730,16.0,226
731,731,8.0,152
732,732,17.0,141
733,733,4.0,39
734,734,7.0,142
735,735,7.0,139
736,736,6.0,139
737,737,5.0,177
738,738,6.0,141
739,739,6.0,126
740,740,7.0,140
741,741,18.0,145
742,742,5.0,142
743,743,1.0,145
744,744,4.0,161
745,745,1.0,140
746,746,3.0,130
747,747,4.0,139
748,748,17.0,193
749,749,3.0,139
750,750,6.0,130
751,751,9.0,144
752,752,6.0,122
753,753,5.0,137
754,754,4.0,158
755,755,9.0,155
756,756,2.0,107
757,757,9.0,159
758,758,6.0,145
759,759,22.0,224
760,760,12.0,171
761,761,7.0,124
762,762,9.0,158
763,763,13.0,189
764,764,6.0,130
765,765,10.0,210
766,766,5.0,174
767,767,14.0,145
768,768,3.0,130
769,769,7.0,142
770,770,11.0,145
771,771,26.0,249
772,772,9.0,155
773,773,16.0,182
774,774,3.0,137
775,775,10.0,140
776,776,20.0,254
777,777,10.0,142
778,778,31.0,334
779,779,10.0,177
780,780,11.0,155
781,781,15.0,157
782,782,15.0,160
783,783,35.0,347
784,784,9.0,130
785,785,11.0,161
786,786,12.0,146
787,787,11.0,157
788,788,39.0,417
789,789,8.0,136
790,790,6.0,142
791,791,13.0,142
792,792,8.0,158
793,793,4.0,144
794,794,10.0,142
795,795,8.0,142
796,796,15.0,207
797,797,21.0,184
798,798,8.0,139
799,799,9.0,136
800,800,3.0,158
801,801,5.0,158
802,802,8.0,155
803,803,11.0,139
804,804,12.0,145
805,805,19.0,187
806,806,3.0,111
807,807,17.0,155
808,808,8.0,190
809,809,3.0,123
810,810,19.0,177
811,811,18.0,172
812,812,4.0,136
813,813,10.0,142
814,814,14.0,145
815,815,9.0,142
816,816,5.0,136
817,817,9.0,166
818,818,19.0,145
819,819,8.0,142
820,820,12.0,161
821,821,10.0,142
822,822,8.0,140
823,823,7.0,146
824,824,6.0,134
825,825,9.0,161
826,826,3.0,101
827,827,17.0,159
828,828,1.0,142
829,829,9.0,142
830,830,15.0,209
831,831,3.0,142
832,832,6.0,136
833,833,2.0,141
834,834,10.0,161
835,835,14.0,155
836,836,15.0,158
837,837,3.0,128
838,838,6.0,124
839,839,6.0,146
840,840,12.0,206
841,841,6.0,121
842,842,6.0,121
843,843,2.0,139
844,844,1.0,78
845,845,4.0,145
846,846,10.0,133
847,847,1.0,130
848,848,5.0,130
849,849,8.0,142
850,850,8.0,145
851,851,3.0,142
852,852,7.0,136
853,853,13.0,139
854,854,9.0,149
855,855,2.0,142
856,856,14.0,161
857,857,3.0,125
858,858,3.0,145
859,859,9.0,145
860,860,4.0,139
861,861,5.0,145
862,862,5.0,155
863,863,4.0,130
864,864,9.0,140
865,865,10.0,142
866,866,13.0,174
867,867,11.0,142
868,868,6.0,155
869,869,5.0,139
870,870,13.0,161
871,871,7.0,142
872,872,16.0,158
873,873,13.0,140
874,874,18.0,145
875,875,9.0,149
876,876,15.0,177
877,877,27.0,268
878,878,4.0,133
879,879,12.0,146
880,880,3.0,130
881,881,4.0,118
882,882,10.0,139
883,883,5.0,172
884,884,8.0,130
885,885,9.0,139
886,886,11.0,124
887,887,8.0,127
888,888,13.0,174
889,889,11.0,149
890,890,8.0,127
891,891,15.0,239
892,892,15.0,174
893,893,50.0,1999
894,894,11.0,178
895,895,12.0,130
896,896,11.0,126
897,897,12.0,139
898,898,17.0,177
899,899,3.0,133
900,900,7.0,121
901,901,7.0,158
902,902,11.0,158
903,903,11.0,159
904,904,6.0,140
905,905,6.0,149
906,906,8.0,133
907,907,34.0,321
908,908,12.0,190
909,909,9.0,127
910,910,11.0,140
911,911,3.0,130
912,912,2.0,124
913,913,4.0,139
914,914,7.0,137
915,915,12.0,155
916,916,7.0,139
917,917,5.0,142
918,918,5.0,142
919,919,7.0,141
920,920,16.0,145
921,921,11.0,145
922,922,3.0,145
923,923,5.0,139
924,924,14.0,219
925,925,3.0,145
926,926,10.0,140
927,927,22.0,223
