,round,reward,ticks
823,823,47.0,328
824,824,8.0,120
825,825,50.0,413
826,826,38.0,310
827,827,18.0,150
828,828,52.0,352
829,829,48.0,358
830,830,4.0,118
831,831,12.0,134
832,832,26.0,246
833,833,34.0,294
834,834,12.0,150
835,835,38.0,326
836,836,53.0,396
837,837,34.0,246
838,838,40.0,310
839,839,16.0,150
840,840,28.0,182
841,841,9.0,118
842,842,16.0,166
843,843,42.0,326
844,844,10.0,118
845,845,28.0,197
846,846,50.0,395
847,847,16.0,182
848,848,35.0,288
849,849,50.0,417
850,850,51.0,400
851,851,17.0,134
852,852,25.0,167
853,853,41.0,310
854,854,18.0,134
855,855,8.0,118
856,856,21.0,166
857,857,12.0,134
858,858,8.0,118
859,859,38.0,294
860,860,19.0,155
861,861,3.0,118
862,862,17.0,150
863,863,18.0,182
864,864,28.0,262
865,865,38.0,262
866,866,30.0,230
867,867,46.0,390
868,868,20.0,166
869,869,51.0,398
870,870,38.0,326
871,871,53.0,385
872,872,26.0,203
873,873,44.0,358
874,874,20.0,185
875,875,12.0,118
876,876,45.0,310
877,877,26.0,214
878,878,49.0,406
879,879,44.0,358
880,880,39.0,313
881,881,20.0,188
882,882,27.0,212
883,883,14.0,144
884,884,20.0,151
885,885,52.0,382
886,886,47.0,426
887,887,53.0,386
888,888,51.0,366
889,889,52.0,364
890,890,24.0,193
891,891,51.0,1999
892,892,9.0,118
893,893,47.0,1999
894,894,20.0,163
895,895,34.0,294
896,896,26.0,198
897,897,20.0,150
898,898,50.0,396
899,899,7.0,140
900,900,38.0,294
901,901,28.0,214
902,902,31.0,301
903,903,53.0,421
904,904,38.0,298
905,905,18.0,156
906,906,5.0,119
907,907,18.0,166
908,908,37.0,333
909,909,48.0,406
910,910,53.0,403
911,911,38.0,278
912,912,39.0,326
913,913,20.0,155
914,914,17.0,150
915,915,11.0,149
916,916,41.0,278
917,917,53.0,343
918,918,13.0,131
919,919,32.0,246
920,920,52.0,363
921,921,27.0,186
922,922,16.0,142
923,923,34.0,246
924,924,16.0,150
925,925,28.0,182
926,926,31.0,248
927,927,36.0,300
928,928,10.0,129
929,929,53.0,325
930,930,23.0,178
931,931,28.0,200
932,932,14.0,133
933,933,7.0,118
934,934,11.0,118
935,935,15.0,123
936,936,53.0,375
937,937,38.0,294
938,938,30.0,278
939,939,14.0,118
940,940,35.0,246
941,941,24.0,230
942,942,38.0,313
943,943,38.0,310
944,944,5.0,118
945,945,22.0,154
946,946,47.0,445
947,947,26.0,162
948,948,7.0,118
949,949,5.0,118
950,950,18.0,197
951,951,49.0,422
952,952,53.0,396
953,953,37.0,294
954,954,49.0,390
955,955,17.0,158
956,956,22.0,180
957,957,38.0,294
958,958,48.0,406
959,959,27.0,182
960,960,29.0,230
961,961,49.0,390
962,962,19.0,166
963,963,51.0,399
964,964,9.0,118
965,965,11.0,134
966,966,16.0,166
967,967,25.0,198
968,968,39.0,278
969,969,13.0,118
970,970,52.0,408
971,971,54.0,405
972,972,12.0,131
973,973,47.0,422
974,974,17.0,159
975,975,49.0,376
976,976,35.0,278
977,977,17.0,142
978,978,11.0,118
979,979,30.0,246
980,980,13.0,118
981,981,35.0,278
982,982,25.0,189
983,983,7.0,134
984,984,14.0,118
985,985,47.0,407
986,986,53.0,397
987,987,11.0,134
988,988,30.0,262
989,989,35.0,246
990,990,25.0,230
991,991,28.0,230
992,992,29.0,185
993,993,24.0,199
994,994,22.0,150
995,995,27.0,197
996,996,50.0,398
997,997,18.0,126
998,998,27.0,230
999,999,52.0,351
1000,1000,40.0,298
1001,1001,12.0,118
1002,1002,14.0,147
1003,1003,36.0,246
1004,1004,28.0,198
1005,1005,36.0,310
1006,1006,50.0,390
1007,1007,33.0,230
1008,1008,19.0,172
1009,1009,28.0,216
1010,1010,12.0,139
1011,1011,12.0,140
1012,1012,21.0,197
1013,1013,22.0,184
1014,1014,36.0,318
1015,1015,8.0,120
1016,1016,15.0,118
1017,1017,14.0,145
1018,1018,21.0,198
1019,1019,31.0,250
1020,1020,20.0,165
1021,1021,17.0,140
1022,1022,38.0,262
1023,1023,16.0,165
1024,1024,38.0,272
1025,1025,45.0,363
1026,1026,9.0,118
1027,1027,38.0,294
1028,1028,15.0,121
1029,1029,35.0,278
1030,1030,22.0,140
1031,1031,47.0,365
1032,1032,34.0,294
1033,1033,39.0,326
1034,1034,18.0,128
1035,1035,53.0,392
1036,1036,17.0,166
1037,1037,24.0,150
1038,1038,17.0,159
1039,1039,32.0,278
1040,1040,33.0,230
1041,1041,48.0,422
1042,1042,18.0,136
1043,1043,12.0,150
1044,1044,12.0,132
1045,1045,19.0,131
1046,1046,18.0,141
1047,1047,14.0,131
1048,1048,39.0,268
1049,1049,49.0,423
1050,1050,42.0,334
1051,1051,14.0,134
1052,1052,15.0,127
1053,1053,41.0,281
1054,1054,35.0,278
1055,1055,33.0,246
1056,1056,36.0,294
1057,1057,36.0,329
1058,1058,11.0,131
1059,1059,14.0,175
1060,1060,48.0,406
1061,1061,52.0,345
1062,1062,30.0,294
1063,1063,25.0,185
1064,1064,10.0,118
1065,1065,52.0,363
